Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
16998,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/226580,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,11-Mar-26,BALAJI TILES UDYOG,Payment Success,350928
16999,Rajasthan,Development of playground,WS/MP18167/2025-2026/187096,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,07-Jan-26,MEWA RAM,Payment Success,30000
17000,Rajasthan,Development of playground,WS/MP18167/2025-2026/187096,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,07-Jan-26,RAJWATI DEVI,Payment Success,11360
17001,Rajasthan,Development of playground,WS/MP18167/2025-2026/187096,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,07-Jan-26,RANJEET,Payment Success,30000
17002,Rajasthan,Development of playground,WS/MP18167/2025-2026/187096,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,07-Jan-26,SANTOSH DEVI,Payment Success,10792
17003,Rajasthan,Development of playground,WS/MP18167/2025-2026/187096,JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA),BRIJENDRA SINGH OLA,JHUNJHUNU,07-Jan-26,SUBHASH CHAND,Payment Success,20250
17004,Punjab,Construction of common work sheds/ common covered sitting area,WS/MP18158/2025-2026/196406,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),DR DHARAMVIRA GANDHI,PATIALA,18-Feb-26,SURINDER SINGH BOLAR,Payment Success,46245
17005,Punjab,Construction of common work sheds/ common covered sitting area,WS/MP18158/2025-2026/196406,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),DR DHARAMVIRA GANDHI,PATIALA,08-Jan-26,SURINDER SINGH BOLAR,Payment Success,15264
17006,Punjab,Construction of buildings for community cultural activities,WS/MP18311/2025-2026/199346,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,07-May-26,Gurbaksh kaur,Payment Success,17020
17007,Punjab,Construction of buildings for community cultural activities,WS/MP18311/2025-2026/199346,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,07-May-26,Gurbaksh kaur,Payment Success,20000
17008,Punjab,Construction of buildings for community cultural activities,WS/MP18311/2025-2026/199346,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,07-May-26,Gurbaksh kaur,Payment Success,13307
17009,Punjab,Construction of buildings for community cultural activities,WS/MP18311/2025-2026/199346,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,22-Jan-26,Gurbaksh kaur,Payment Success,30316
17010,Punjab,Construction of buildings for community cultural activities,WS/MP18311/2025-2026/199346,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,01-Jan-26,Gurbaksh kaur,Payment Success,41340
17011,Punjab,Construction of buildings for community cultural activities,WS/MP18311/2025-2026/199346,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,12-Mar-26,Gurbaksh kaur,Payment Success,28910
17012,Punjab,Construction of buildings for community cultural activities,WS/MP18311/2025-2026/199346,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,01-Jan-26,S K faruki welding and fabrication works,Payment Success,5878
17013,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP552/2025-2026/211236,PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA),Radha Mohan Singh,PURVI CHAMPARAN,31-Dec-25,sanjeet kumar,Payment Success,495806
17014,Punjab,Providing drains and gutters for public drainage,WS/MP18311/2025-2026/156719,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,01-Jan-26,DHAN DHAN BABA VADHBHAG SINGH JI PAINT AND SANITARY HOUSE,Payment Success,167855
17015,Punjab,Providing drains and gutters for public drainage,WS/MP18311/2025-2026/156719,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,04-Jul-26,DHAN DHAN BABA VADHBHAG SINGH JI PAINT AND SANITARY HOUSE,Payment Success,69738
17016,Punjab,Providing drains and gutters for public drainage,WS/MP18311/2025-2026/156719,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,04-Jul-26,DHAN DHAN BABA VADHBHAG SINGH JI PAINT AND SANITARY HOUSE,Payment Success,24985
17017,Punjab,Providing drains and gutters for public drainage,WS/MP18311/2025-2026/156719,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,08-May-26,DHAN DHAN BABA VADHBHAG SINGH JI PAINT AND SANITARY HOUSE,Payment Success,68912
17018,Maharashtra,Construction of community centers and community halls,WS/MP18133/2025-2026/148507,SATARA(DISTRICT COLLECTOR SATARA_IDA),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SATARA,16-Mar-26,Swapnil Raghunath Thorat,Payment Success,1489610
17019,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18170/2024-2025/161863,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,30-Jan-26,ANITA,Payment Success,3990
17020,Tamil Nadu,Construction of bus-sheds or bus-stops,WS/MP747/2025-2026/181341,VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),Manickam Tagore B,VIRUDHUNAGAR,07-Jan-26,Manikandan A,Payment Success,749788
17021,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18170/2024-2025/161863,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,30-Jan-26,DHANISHA KUMAWAT,Payment Success,3990
17022,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18170/2024-2025/161863,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,30-Jan-26,SARITA KUMAWAT,Payment Success,3990
17023,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18170/2024-2025/161863,SIKAR(DISTRICT COLLECTOR SIKAR_IDA),AMRARAM,SIKAR,30-Jan-26,REKHA KANWAR,Payment Success,3990
17024,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP692/2026-2027/183481,PUNE(DISTRICT COLLECTOR PUNE_IDA),Smt Supriya Sadanand Sule,BARAMATI,21-May-26,SARASWATI MAJOOR SAHAKARI SANSTHA LTD,Payment Success,993417
17025,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18344/2025-2026/225584,PORBANDAR(DISTRICT COLLECTOR PORBANDAR_IDA),DR. MANSUKH MANDAVIYA,PORBANDAR,31-Dec-25,GRAM PANCHAYAT RANAVADWALA,Payment Success,250000
17026,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18198/2025-2026/193991,PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA),UJJWAL RAMAN SINGH,ALLAHABAD,07-Feb-26,LAVLESH KUMAR PANDEY,Payment Success,532818
17027,Kerala,Purchase of vans and buses for educational institutions,WS/MP353/2025-2026/196108,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Adv Dean Kuriakose,IDUKKI,27-Dec-25,HEADMISTRESS GUPS NERIAMANGALAM,Payment Success,85000
17028,West Bengal,Installing community drinking water plants,WS/MP499/2025-2026/198325,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),Smt Satabdi Roy (Banerjee),BIRBHUM,27-Dec-25,SAMADISH MAL,Payment Success,249719
17029,Rajasthan,Lighting of public spaces,WS/MP386/2025-2026/242674,Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA),Shri Hanuman Beniwal,NAGAUR,08-Jan-26,BALAJI CONSTRUCTION AND SUPPLIERS,Payment Success,749250
17030,Rajasthan,Lighting of public spaces,WS/MP386/2025-2026/242674,Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA),Shri Hanuman Beniwal,NAGAUR,23-Jan-26,BALAJI CONSTRUCTION AND SUPPLIERS,Payment Success,250750
17031,Rajasthan,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18161/2025-2026/220748,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),SANJNA JATAV,BHARATPUR(SC),26-Dec-25,tushar johari,Payment Success,500000
17032,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP18161/2025-2026/220747,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),SANJNA JATAV,BHARATPUR(SC),26-Dec-25,tushar johari,Payment Success,550000
17033,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/191751,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,24-Dec-25,NARESH KUMAR,Payment Success,35100
17034,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/191751,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,24-Dec-25,ANIL KUMAR,Payment Success,35100
17035,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/191751,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,24-Dec-25,DEVILAL,Payment Success,35100
17036,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/191751,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,24-Dec-25,SUMAN CHOUDHARY,Payment Success,11115
17037,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/191751,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,24-Dec-25,TOLARAM JAT,Payment Success,11115
17038,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/191751,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,24-Dec-25,SHRWAN KUMAR MEGHWAL,Payment Success,11115
17039,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP650/2025-2026/216021,INDORE(DISTRICT COLLECTOR INDORE_IDA),Shankar Lalwani,INDORE,02-Feb-26,SHRE DHAKAD BROTHERS,Payment Success,92400
17040,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/191751,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,24-Dec-25,SITA,Payment Success,11115
17041,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/191751,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,24-Dec-25,SANTOSH DEVI,Payment Success,11115
17042,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/191751,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,24-Dec-25,SUBHASH JAKHAR,Payment Success,11115
17043,Rajasthan,Construction of additional rooms and halls in the existing public and community building,WS/MP728/2025-2026/191751,CHURU(DISTRICT COLLECTOR CHURU_IDA),Rahul Kaswan,CHURU,24-Dec-25,PRABHUDAYAL SUTHAR,Payment Success,10260
17044,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/204121,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,29-Dec-25,G VENKAT REDDY,Payment Success,499036
17045,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/204122,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,29-Dec-25,G VENKAT REDDY,Payment Success,499617
17046,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/204123,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,29-Dec-25,G VENKAT REDDY,Payment Success,499866
17047,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/219364,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,22-Jan-26,G VENKAT REDDY,Payment Success,499994
17048,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/219365,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,22-Jan-26,G VENKAT REDDY,Payment Success,499654
17049,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18188/2025-2026/202809,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,21-Apr-26,G VENKAT REDDY,Payment Success,499911
17050,Rajasthan,Construction of common work sheds/ common covered sitting area,WS/MP18165/2025-2026/181099,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),MANJU SHARMA,JAIPUR,24-Dec-25,RN CONSTRUCTION CO,Payment Success,760740
17051,Rajasthan,Construction of common work sheds/ common covered sitting area,WS/MP18165/2025-2026/181099,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),MANJU SHARMA,JAIPUR,13-Mar-26,RN CONSTRUCTION CO,Payment Success,280235
17052,Gujarat,Construction of bus-sheds or bus-stops,WS/MP18054/2025-2026/174871,MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA),HARIBHAI PATEL,MAHESANA,07-Jan-26,MARUTI BUILDNEST PVT LTD,Payment Success,183906
17053,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214656,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),21-Feb-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17054,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214654,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),21-Feb-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17055,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214659,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),21-Feb-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17056,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214658,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),21-Feb-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17057,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214655,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),21-Feb-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17058,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214657,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),21-Feb-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17059,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214651,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),13-Jan-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17060,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214652,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),13-Jan-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17061,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214648,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),13-Jan-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17062,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214650,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),13-Jan-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17063,Tamil Nadu,Lighting of public spaces,WS/MP18182/2025-2026/214649,TENKASI(DISTRICT COLLECTOR TENKASI_IDA),DR RANI SRI KUMAR,TENKASI(SC),13-Jan-26,KATHIRESAN THANGAVEL NADAR,Payment Success,417005
17064,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18169/2025-2026/180122,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,24-Mar-26,PYARI BAI,Payment Success,6000
17065,Punjab,Construction of buildings for community cultural activities,WS/MP18155/2025-2026/237049,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),27-Apr-26,Ms Brothers Sales Suppliers,Payment Success,63600
17066,Punjab,Construction of buildings for community cultural activities,WS/MP18155/2025-2026/237049,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),02-Jan-26,Ms Brothers Sales Suppliers,Payment Success,5000
17067,Punjab,Construction of buildings for community cultural activities,WS/MP18155/2025-2026/237049,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),02-Jan-26,Ms Brothers Sales Suppliers,Payment Success,32000
17068,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18169/2025-2026/180122,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,24-Mar-26,DEVI LAL SALVI,Payment Success,14000
17069,Karnataka,Construction of community centers and community halls,WS/MP618/2025-2026/208757,BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA),Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,30-Dec-25,VITTALAGOUD HANAMANTGOUD PATIL,Payment Success,375000
17070,Karnataka,Construction of community centers and community halls,WS/MP618/2025-2026/208757,BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA),Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,12-Feb-26,VITTALAGOUD HANAMANTGOUD PATIL,Payment Success,125000
17071,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18169/2025-2026/180122,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,24-Mar-26,SHANTI,Payment Success,6000
17072,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18169/2025-2026/180122,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,24-Mar-26,RAMACHANDRA,Payment Success,14000
17073,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18169/2025-2026/180122,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,24-Mar-26,DAL CHAND KHATIK,Payment Success,14000
17074,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18169/2025-2026/180122,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,24-Mar-26,ABIDA BANU PINARA,Payment Success,6000
17075,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18169/2025-2026/180122,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,24-Mar-26,SUNDAR LAL SEN,Payment Success,6000
17076,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18169/2025-2026/180122,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,24-Mar-26,RAVI SEN,Payment Success,6000
17077,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18169/2025-2026/180122,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,24-Mar-26,BABU KHAN,Payment Success,14000
17078,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Chhotu Ram,Payment Success,11050
17079,Rajasthan,Construction of rooms and halls in school and colleges,WS/MP18169/2025-2026/180122,RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA),MAHIMA KUMARI MEWAR,RAJSAMAND,24-Mar-26,SHAKILA BANU,Payment Success,6000
17080,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Chhotu Ram,Payment Success,44200
17081,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Goparam Saini,Payment Success,44200
17082,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Babulal saini,Payment Success,11050
17083,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Banarasi Devi,Payment Success,14820
17084,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Kailash Chandra,Payment Success,14820
17085,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Kamla devi,Payment Success,14820
17086,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2024-2025/156660",BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,29-Dec-25,DESAD GRAM PNCHAYAT,Payment Success,200000
17087,Madhya Pradesh,Construction of public irrigation facilities,WS/MP444/2025-2026/178196,BETUL(DISTRICT COLLECTOR BETUL_IDA),Durga Das Uikey,BETUL(ST),15-Jan-26,BHAVANI TREDERS,Payment Success,25667
17088,Madhya Pradesh,Construction of public irrigation facilities,WS/MP444/2025-2026/178196,BETUL(DISTRICT COLLECTOR BETUL_IDA),Durga Das Uikey,BETUL(ST),15-Jan-26,BHAVANI TREDERS,Payment Success,37214
17089,Madhya Pradesh,Construction of public irrigation facilities,WS/MP444/2025-2026/178196,BETUL(DISTRICT COLLECTOR BETUL_IDA),Durga Das Uikey,BETUL(ST),15-Jan-26,BHAVANI TREDERS,Payment Success,68558
17090,Madhya Pradesh,Construction of public irrigation facilities,WS/MP444/2025-2026/178196,BETUL(DISTRICT COLLECTOR BETUL_IDA),Durga Das Uikey,BETUL(ST),15-Jan-26,BHAVANI TREDERS,Payment Success,103250
17091,Madhya Pradesh,Construction of public irrigation facilities,WS/MP444/2025-2026/178196,BETUL(DISTRICT COLLECTOR BETUL_IDA),Durga Das Uikey,BETUL(ST),15-Jan-26,BHAVANI TREDERS,Payment Success,103250
17092,Madhya Pradesh,Construction of public irrigation facilities,WS/MP444/2025-2026/178196,BETUL(DISTRICT COLLECTOR BETUL_IDA),Durga Das Uikey,BETUL(ST),15-Jan-26,BHAVANI TREDERS,Payment Success,80948
17093,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Madan lal,Payment Success,14820
17094,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Bhawari Devi,Payment Success,14820
17095,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Santosh devi,Payment Success,14250
17096,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Jamna devi,Payment Success,11115
17097,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18170/2024-2025/161867,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),AMRARAM,SIKAR,24-Dec-25,Bajrang Lal,Payment Success,11115
17098,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP423/2025-2026/138462,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,26-Dec-25,MG CONSTRUCTION,Payment Success,786391
17099,Odisha,Construction of rooms and halls in school and colleges,WS/MP18350/2025-2026/232282,Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,29-Dec-25,M S B N ENTERPRISES,Payment Success,1000000
17100,Odisha,Development of playfields and sports grounds,WS/MP18350/2025-2026/207432,Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,24-Feb-26,M S B N ENTERPRISES,Payment Success,500000
17101,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18350/2025-2026/232281,Kandhamala(DISTRICT COLLECTOR KANDHAMAL_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,24-Feb-26,M S B N ENTERPRISES,Payment Success,500000
17102,West Bengal,Lighting of public spaces,WS/MP243/2025-2026/147542,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,05-Jan-26,ARATIK,Payment Success,2887200
